frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,obstacle,side_safe,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
17,1751203050.30,0,0.000,0.000,0.000,0.000,0.00,0.00,-0.85,0.00,0.01,blind_forward,1,0,0,0.00,0.00,0.00,1.00,0.070,0.020,0.022,0.997
18,1751203050.30,150,0.008,0.012,0.010,0.179,0.00,0.00,-0.84,-0.00,0.03,none,0,0,0,0.00,0.00,0.00,14.76,0.074,0.019,0.022,0.068
19,1751203050.37,150,3.121,2.001,2.169,85.101,0.01,0.00,-0.85,-0.00,0.22,none,0,0,0,0.00,0.00,0.00,8.54,0.070,0.022,0.023,0.117
20,1751203050.49,150,4.929,3.255,3.676,84.692,0.04,0.00,-0.87,-0.00,0.43,none,0,0,0,0.00,0.00,0.00,8.62,0.075,0.019,0.022,0.116
21,1751203050.60,150,5.168,3.441,4.034,46.770,0.10,0.00,-0.90,-0.00,0.63,none,0,0,0,0.00,0.00,0.00,7.83,0.084,0.018,0.024,0.128
22,1751203050.73,150,4.813,3.243,3.986,11.722,0.18,0.00,-0.92,-0.00,0.79,none,0,0,0,0.00,0.00,0.00,8.83,0.068,0.019,0.024,0.113
23,1751203050.84,150,5.289,3.707,4.511,37.940,0.29,0.00,-0.94,-0.00,0.97,none,0,0,0,0.00,0.00,0.00,7.99,0.080,0.020,0.023,0.125
24,1751203050.97,150,5.489,3.850,4.724,41.109,0.42,0.00,-0.95,-0.00,1.13,none,0,0,0,0.00,0.00,0.00,7.70,0.082,0.021,0.025,0.130
25,1751203051.10,150,5.624,3.971,4.854,39.633,0.58,0.00,-0.96,-0.00,1.27,none,0,0,0,0.00,0.00,0.00,7.80,0.087,0.018,0.022,0.128
26,1751203051.23,150,5.742,4.133,4.963,34.891,0.76,0.00,-0.97,-0.00,1.40,none,0,0,0,0.00,0.00,0.00,7.22,0.094,0.021,0.022,0.138
27,1751203051.36,150,6.429,4.712,5.531,41.469,0.95,0.00,-0.97,-0.00,1.49,none,0,0,0,34.95,4.24,0.00,7.73,0.080,0.020,0.027,0.129
28,1751203051.49,150,7.204,5.401,6.258,29.670,1.15,0.00,-0.97,-0.00,1.58,none,0,0,0,35.80,4.37,0.00,7.49,0.089,0.019,0.022,0.134
29,1751203051.63,150,7.141,5.546,6.344,35.127,1.33,0.00,-0.97,-0.00,1.64,none,0,0,0,36.41,4.46,0.00,8.75,0.067,0.021,0.024,0.114
30,1751203051.74,149,7.066,5.569,6.417,33.602,1.54,0.00,-0.97,-0.00,1.70,none,0,0,0,36.96,4.54,0.00,8.31,0.079,0.018,0.022,0.120
31,1751203051.86,148,7.372,5.921,6.731,45.278,1.73,0.00,-0.97,-0.00,1.74,none,0,0,0,37.38,4.61,0.00,9.18,0.067,0.019,0.021,0.109
32,1751203051.97,147,8.018,6.401,7.224,33.583,2.00,0.00,-0.97,-0.00,1.79,none,0,0,0,37.87,4.68,0.00,6.31,0.110,0.021,0.026,0.159
33,1751203052.13,150,7.967,6.668,7.165,35.186,2.25,0.00,-0.96,-0.00,1.82,none,0,0,0,38.23,4.73,0.00,7.14,0.095,0.020,0.024,0.140
34,1751203052.27,150,8.079,7.172,7.335,43.485,2.49,0.00,-0.96,-0.00,1.85,none,0,0,0,38.50,4.78,0.00,7.70,0.083,0.022,0.022,0.130
35,1751203052.40,150,8.266,7.920,7.561,47.410,2.70,0.00,-0.96,-0.00,1.79,resume_reinforce,0,0,0,37.88,4.68,0.00,8.80,0.069,0.019,0.024,0.114
36,1751203052.51,150,8.669,9.202,7.850,78.439,2.89,0.00,-0.95,-0.00,1.70,none,0,0,0,37.00,4.55,0.00,8.80,0.071,0.018,0.022,0.114
37,1751203052.63,150,8.920,9.451,8.261,44.125,3.09,0.00,-0.94,-0.00,1.67,none,0,0,0,36.72,4.51,0.00,8.76,0.070,0.021,0.022,0.114
38,1751203052.74,150,8.969,9.443,8.305,37.285,3.34,0.00,-0.93,-0.00,1.69,none,0,0,0,36.87,4.53,0.00,6.44,0.107,0.021,0.023,0.155
39,1751203052.90,150,8.997,9.755,8.398,56.901,3.58,0.00,-0.92,-0.00,1.72,none,0,0,0,37.21,4.58,0.00,7.19,0.093,0.021,0.023,0.139
40,1751203053.04,149,9.139,10.558,8.485,62.031,3.79,0.00,-0.92,-0.00,1.75,none,0,0,0,37.54,4.63,0.00,8.10,0.078,0.020,0.024,0.123
41,1751203053.16,150,9.225,9.841,8.666,59.200,4.00,0.00,-0.91,-0.00,1.79,none,0,0,0,37.86,4.68,0.00,8.38,0.075,0.020,0.023,0.119
42,1751203053.28,150,9.271,9.155,8.766,61.446,4.21,0.00,-0.91,-0.00,1.81,none,0,0,0,38.14,4.72,0.00,8.62,0.071,0.021,0.023,0.116
43,1751203053.39,146,9.503,8.322,8.960,63.323,4.42,0.00,-0.90,-0.00,1.84,none,0,0,0,38.38,4.76,0.00,8.58,0.070,0.021,0.024,0.116
44,1751203053.51,149,9.874,7.405,9.108,65.120,4.64,0.00,-0.90,-0.00,1.86,none,0,0,0,38.60,4.79,0.00,8.22,0.077,0.021,0.022,0.122
45,1751203053.63,148,10.474,6.212,9.426,99.551,4.86,0.00,-0.89,-0.00,1.88,none,0,0,0,38.78,4.82,0.00,8.47,0.074,0.020,0.020,0.118
46,1751203053.75,148,11.112,4.439,10.283,144.483,5.07,0.00,-0.89,-0.00,1.89,none,0,0,0,38.94,4.84,0.00,8.84,0.069,0.020,0.022,0.113
47,1751203053.86,140,12.102,3.616,11.541,261.838,5.29,0.00,-0.89,-0.00,1.91,none,0,0,0,39.07,4.86,0.00,8.83,0.070,0.020,0.021,0.113
48,1751203053.98,141,13.093,3.440,13.326,504.408,5.50,0.00,-0.89,-0.00,1.92,none,0,0,0,39.17,4.88,0.00,8.80,0.071,0.020,0.020,0.114
49,1751203054.09,147,13.610,3.109,15.038,367.445,5.71,0.00,-0.88,-0.00,1.93,none,0,0,1,39.26,4.89,0.00,9.29,0.065,0.019,0.022,0.108
50,1751203054.20,147,13.951,1.955,15.275,98.418,5.95,0.00,-0.88,-0.00,1.93,none,0,0,1,39.35,4.90,0.00,8.03,0.080,0.020,0.022,0.125
51,1751203054.32,150,14.259,2.175,15.963,99.582,6.20,0.00,-0.88,-0.00,1.94,none,0,0,0,39.42,4.91,0.00,7.63,0.088,0.018,0.022,0.131
52,1751203054.45,148,14.599,2.714,16.295,89.895,6.43,0.00,-0.88,-0.00,1.95,none,0,0,0,39.48,4.92,0.00,8.47,0.071,0.022,0.024,0.118
53,1751203054.57,147,15.057,3.244,16.311,103.992,6.66,0.00,-0.88,-0.00,1.95,resume_reinforce,0,0,0,39.52,4.93,0.00,8.59,0.070,0.020,0.023,0.116
54,1751203054.69,147,15.354,3.708,16.189,128.297,6.87,0.00,-0.88,-0.00,1.96,none,0,0,0,39.56,4.93,0.00,9.06,0.069,0.019,0.022,0.110
55,1751203054.80,148,15.356,4.211,16.340,106.096,7.10,0.00,-0.87,-0.00,1.96,none,0,0,0,39.60,4.94,0.00,8.20,0.081,0.017,0.021,0.122
56,1751203054.92,146,14.860,4.657,15.583,89.689,7.37,0.00,-0.87,-0.00,1.96,none,0,0,0,39.63,4.94,0.00,7.53,0.085,0.021,0.027,0.133
57,1751203055.05,148,14.073,5.259,14.625,77.386,7.59,0.00,-0.87,-0.00,1.97,none,0,0,0,39.65,4.95,0.00,8.93,0.068,0.019,0.022,0.112
58,1751203055.16,149,13.568,5.220,12.630,104.057,7.80,0.00,-0.87,-0.00,1.97,none,0,0,0,39.67,4.95,0.00,9.04,0.071,0.018,0.021,0.111
59,1751203055.28,143,13.542,4.668,10.835,103.146,8.03,0.00,-0.87,-0.00,1.97,none,0,0,0,39.69,4.95,0.00,8.48,0.073,0.020,0.022,0.118
60,1751203055.39,146,13.409,4.493,10.672,97.186,8.28,0.00,-0.87,-0.00,1.97,none,0,0,0,39.70,4.96,0.00,8.08,0.076,0.022,0.024,0.124
61,1751203055.52,138,13.390,4.434,10.454,85.250,8.55,0.00,-0.87,-0.00,1.97,none,0,0,0,39.71,4.96,0.00,7.30,0.093,0.020,0.022,0.137
62,1751203055.65,143,13.480,4.123,9.904,82.009,8.82,0.00,-0.87,-0.00,1.97,none,0,0,0,39.72,4.96,0.00,7.26,0.095,0.019,0.022,0.138
63,1751203055.79,147,13.577,3.755,10.305,100.666,9.08,0.00,-0.87,-0.00,1.97,none,0,0,0,39.73,4.96,0.00,7.71,0.087,0.018,0.025,0.130
64,1751203055.92,146,14.045,3.642,10.580,128.937,9.31,0.00,-0.87,-0.00,1.97,none,0,0,1,39.74,4.96,0.00,8.21,0.078,0.017,0.024,0.122
65,1751203056.04,145,14.298,3.374,10.446,141.059,9.53,0.00,-0.87,-0.00,1.97,none,0,0,1,39.74,4.96,0.00,8.96,0.066,0.021,0.022,0.112
66,1751203056.16,147,14.559,3.383,10.995,144.207,9.75,-0.00,-0.87,-0.00,1.97,none,0,0,1,39.75,4.96,0.00,8.76,0.069,0.018,0.023,0.114
67,1751203056.27,145,14.819,2.974,11.148,94.869,9.99,-0.00,-0.86,-0.00,1.98,none,0,0,1,39.75,4.96,0.00,8.56,0.075,0.018,0.023,0.117
68,1751203056.39,149,14.860,2.878,12.266,111.764,10.21,-0.00,-0.86,-0.00,1.98,none,0,0,1,39.76,4.96,0.00,9.11,0.069,0.019,0.022,0.110
69,1751203056.50,149,14.878,2.997,12.821,92.273,10.45,-0.00,-0.86,-0.00,1.98,none,0,0,1,39.76,4.96,0.00,8.11,0.076,0.020,0.024,0.123
70,1751203056.62,147,14.934,3.431,13.205,102.413,10.68,-0.00,-0.86,-0.00,1.98,none,0,0,1,39.76,4.96,0.00,8.41,0.072,0.020,0.025,0.119
71,1751203056.74,145,15.086,3.662,12.967,142.479,10.92,-0.00,-0.86,-0.00,1.98,resume_reinforce,0,0,1,39.76,4.96,0.00,8.35,0.073,0.022,0.022,0.120
72,1751203056.86,145,14.949,3.904,13.148,84.930,11.16,-0.00,-0.86,-0.00,1.98,none,0,0,1,39.76,4.96,0.00,8.03,0.083,0.018,0.022,0.124
73,1751203056.98,148,14.626,4.106,13.296,103.961,11.40,-0.00,-0.86,-0.00,1.98,none,0,0,1,39.77,4.96,0.00,8.41,0.075,0.019,0.024,0.119
74,1751203057.10,145,14.016,4.054,13.776,98.767,11.61,-0.00,-0.86,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,9.33,0.066,0.018,0.022,0.107
75,1751203057.21,148,13.681,4.206,13.780,113.002,11.83,-0.00,-0.86,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.86,0.071,0.018,0.023,0.113
76,1751203057.32,147,13.569,3.975,13.174,106.069,12.05,-0.00,-0.86,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.80,0.071,0.019,0.023,0.114
77,1751203057.43,145,13.495,4.158,13.417,103.658,12.28,-0.00,-0.86,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.56,0.074,0.019,0.021,0.117
78,1751203057.55,141,13.533,4.143,13.539,87.283,12.54,-0.00,-0.86,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,7.48,0.092,0.017,0.021,0.134
79,1751203057.69,142,13.567,4.181,13.216,96.829,12.76,-0.00,-0.86,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,9.09,0.070,0.018,0.021,0.110
80,1751203057.80,144,13.506,3.740,12.676,95.057,12.98,0.00,-0.86,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,9.03,0.067,0.019,0.023,0.111
81,1751203057.91,149,13.523,3.530,12.942,96.412,13.23,0.00,-0.86,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,7.86,0.082,0.020,0.023,0.127
82,1751203058.03,148,13.591,3.356,12.866,90.709,13.47,0.00,-0.86,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.06,0.078,0.021,0.022,0.124
83,1751203058.16,148,13.726,3.170,12.439,83.149,13.72,0.00,-0.86,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.06,0.080,0.022,0.022,0.124
84,1751203058.28,148,13.667,3.078,12.136,84.179,13.97,0.00,-0.86,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.06,0.074,0.021,0.025,0.124
85,1751203058.41,148,13.570,2.852,12.334,81.616,14.17,0.00,-0.86,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,9.39,0.066,0.018,0.022,0.107
86,1751203058.51,148,13.524,2.768,12.135,92.838,14.39,0.00,-0.86,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.95,0.064,0.021,0.025,0.112
87,1751203058.62,149,13.594,2.647,12.040,80.374,14.61,0.00,-0.86,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.96,0.068,0.018,0.023,0.112
88,1751203058.74,150,13.573,2.534,12.365,87.142,14.85,0.00,-0.86,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.27,0.076,0.018,0.025,0.121
89,1751203058.86,150,13.452,2.469,12.723,100.273,15.10,0.00,-0.86,-0.00,1.98,resume_reinforce,0,0,0,39.77,4.97,0.00,8.09,0.081,0.019,0.022,0.124
90,1751203058.98,149,13.405,2.540,13.283,80.055,15.31,0.00,-0.86,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.98,0.068,0.018,0.023,0.111
91,1751203059.09,149,13.237,2.567,13.166,81.196,15.53,0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,9.17,0.067,0.018,0.023,0.109
92,1751203059.20,148,13.831,2.522,14.289,104.909,15.77,0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.23,0.080,0.019,0.021,0.121
93,1751203059.32,150,14.175,2.605,14.720,72.767,15.99,0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.81,0.070,0.018,0.022,0.114
94,1751203059.44,149,14.432,2.651,14.817,88.729,16.20,0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,9.55,0.065,0.019,0.021,0.105
95,1751203059.54,150,14.527,2.791,14.447,79.694,16.42,0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.95,0.068,0.020,0.021,0.112
96,1751203059.65,150,15.071,2.964,15.100,91.212,16.65,0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.46,0.074,0.021,0.021,0.118
97,1751203059.77,148,16.389,3.193,15.866,200.460,16.91,0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,7.44,0.086,0.018,0.026,0.134
98,1751203059.90,150,15.982,3.480,14.710,72.490,17.12,0.00,-0.85,-0.00,1.98,none,0,0,1,39.77,4.97,0.00,9.40,0.066,0.019,0.022,0.106
99,1751203060.01,149,15.543,3.762,14.319,66.675,17.35,0.00,-0.85,-0.00,1.98,none,0,0,1,39.77,4.97,0.00,8.79,0.068,0.021,0.023,0.114
100,1751203060.12,150,15.167,4.149,13.863,75.130,17.60,0.00,-0.85,-0.00,1.98,none,0,0,1,39.77,4.97,0.00,7.93,0.082,0.019,0.024,0.126
101,1751203060.25,150,14.752,4.654,13.504,78.697,17.82,0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.57,0.068,0.020,0.025,0.117
102,1751203060.37,147,13.666,5.230,12.450,93.885,18.05,0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.49,0.075,0.020,0.022,0.118
103,1751203060.48,144,12.894,5.821,11.947,98.549,18.29,0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.65,0.071,0.020,0.021,0.116
104,1751203060.60,148,12.356,6.366,11.490,55.432,18.52,0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.21,0.071,0.022,0.027,0.122
105,1751203060.72,146,11.936,6.966,11.418,52.006,18.78,0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,7.60,0.086,0.020,0.024,0.132
106,1751203060.85,150,11.453,7.636,11.022,60.614,19.03,0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.00,0.081,0.020,0.023,0.125
107,1751203060.98,146,10.097,8.212,9.828,71.512,19.26,0.00,-0.85,-0.00,1.98,resume_reinforce,0,0,0,39.77,4.97,0.00,8.61,0.069,0.020,0.025,0.116
108,1751203061.10,148,10.373,8.755,9.938,67.469,19.48,0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.83,0.068,0.021,0.023,0.113
109,1751203061.21,149,10.712,9.316,10.192,75.578,19.70,0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.76,0.070,0.020,0.023,0.114
110,1751203061.32,150,11.467,9.919,10.500,92.537,19.96,0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,7.77,0.082,0.021,0.024,0.129
111,1751203061.45,144,12.429,10.492,11.040,80.595,20.24,0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,6.99,0.095,0.025,0.022,0.143
112,1751203061.59,144,13.474,10.942,12.163,111.769,20.47,0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.33,0.073,0.022,0.023,0.120
113,1751203061.71,144,14.235,11.658,13.841,141.517,20.70,0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.78,0.068,0.021,0.023,0.114
114,1751203061.83,137,15.098,12.465,15.127,181.179,20.93,0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.55,0.071,0.021,0.023,0.117
115,1751203061.95,139,16.312,14.092,16.582,213.396,21.16,0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.74,0.071,0.019,0.024,0.114
116,1751203062.06,134,17.717,15.592,18.341,428.486,21.20,-0.00,-0.85,0.10,0.04,none,1,0,0,20.43,2.06,0.00,9.32,0.063,0.018,0.023,0.107
117,1751203062.17,106,19.831,17.107,20.033,368.477,21.20,-0.00,-0.85,0.13,0.12,none,1,0,0,21.16,2.17,0.00,8.85,0.071,0.017,0.024,0.113
118,1751203062.28,120,21.828,19.234,22.267,565.127,21.20,-0.00,-0.85,0.13,0.16,none,1,0,0,21.59,2.24,0.00,9.49,0.061,0.017,0.025,0.105
119,1751203062.39,134,22.114,19.338,22.636,82.115,21.20,-0.00,-0.85,0.13,0.16,none,1,0,0,21.56,2.23,0.00,8.33,0.075,0.017,0.030,0.120
120,1751203062.51,146,21.364,19.115,22.528,88.634,21.20,-0.00,-0.85,0.13,0.18,none,1,0,0,21.77,2.27,0.00,9.43,0.060,0.018,0.026,0.106
121,1751203062.61,146,20.082,18.268,21.513,39.841,21.20,-0.00,-0.85,0.12,0.19,none,1,0,0,21.85,2.28,0.00,9.88,0.059,0.017,0.025,0.101
