frame,flow_left,flow_center,flow_right,delta_left,delta_center,delta_right,flow_std,left_count,center_count,right_count,brake_thres,dodge_thres,probe_req,fps,state,collided,obstacle,side_safe,pos_x,pos_y,pos_z,yaw,speed,time,features,simgetimage_s,decode_s,processing_s,loop_s
18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,5.02,2.01,0.00,0.94,blind_forward,1,0,0,0.00,0.00,-0.85,0.00,0.01,1751309587.62,0,0.074,0.021,0.022,1.059
19,0.019,0.012,0.018,0.019,0.012,0.018,0.693,43,56,51,0.00,0.00,0.00,18.12,none,0,0,0,0.00,0.00,-0.85,0.00,0.01,1751309587.63,150,0.069,0.019,0.023,0.055
20,0.030,0.024,0.031,0.012,0.013,0.013,0.398,43,57,50,0.00,0.00,0.00,16.71,none,0,0,0,0.00,0.00,-0.82,-0.00,0.47,1751309587.68,150,0.074,0.018,0.022,0.060
21,2.519,2.108,2.265,2.488,2.084,2.234,87.472,43,55,52,0.00,0.00,0.00,7.82,none,0,0,0,0.01,0.00,-0.73,-0.00,1.08,1751309587.74,150,0.082,0.021,0.022,0.128
22,3.532,2.821,3.590,1.013,0.713,1.326,64.038,34,63,53,0.00,0.00,0.00,7.51,none,0,0,0,0.04,0.00,-0.57,-0.00,1.22,1751309587.87,150,0.087,0.020,0.024,0.133
23,4.012,3.343,4.135,0.481,0.523,0.544,47.219,36,65,46,0.00,0.00,0.00,8.21,none,0,0,0,0.09,0.00,-0.44,-0.00,1.14,1751309588.00,147,0.072,0.024,0.025,0.122
24,4.267,3.444,4.380,0.255,0.101,0.245,20.824,49,52,49,0.00,0.00,0.00,8.30,none,0,0,0,0.17,0.00,-0.33,-0.00,1.12,1751309588.12,150,0.074,0.022,0.023,0.121
25,4.108,3.180,4.223,-0.159,-0.264,-0.157,14.145,49,56,45,0.00,0.00,0.00,7.75,none,0,0,0,0.29,0.00,-0.23,-0.00,1.17,1751309588.25,150,0.084,0.020,0.023,0.129
26,4.097,3.032,4.193,-0.011,-0.148,-0.030,23.835,48,52,50,0.00,0.00,0.00,8.64,none,0,0,0,0.41,0.00,-0.17,-0.00,1.24,1751309588.37,150,0.068,0.021,0.025,0.116
27,4.141,2.957,4.235,0.045,-0.075,0.042,21.025,54,49,47,0.00,0.00,0.00,7.55,none,0,0,0,0.57,0.00,-0.11,-0.00,1.34,1751309588.49,150,0.088,0.019,0.023,0.132
28,4.752,3.279,4.840,0.611,0.322,0.606,33.647,59,43,48,0.00,0.00,0.00,8.02,none,0,0,0,0.74,0.00,-0.06,-0.00,1.43,1751309588.62,150,0.078,0.020,0.026,0.125
29,5.426,3.613,5.513,0.674,0.333,0.673,37.245,53,42,55,9.53,4.26,0.00,8.07,none,0,0,1,0.92,0.00,-0.03,-0.00,1.51,1751309588.75,150,0.077,0.021,0.024,0.124
30,6.138,3.973,6.230,0.712,0.360,0.717,43.112,56,39,55,9.73,4.37,0.00,8.66,none,0,0,1,1.09,0.00,-0.01,-0.00,1.58,1751309588.87,150,0.070,0.021,0.022,0.115
31,5.898,3.539,6.117,-0.240,-0.434,-0.112,47.560,66,27,57,9.91,4.46,0.00,8.56,none,0,0,1,1.28,0.00,0.01,-0.00,1.64,1751309588.99,150,0.073,0.019,0.022,0.117
32,5.967,3.398,6.093,0.069,-0.141,-0.024,49.156,63,25,62,10.07,4.54,0.00,8.49,none,0,0,1,1.47,0.00,0.02,-0.00,1.69,1751309589.10,150,0.072,0.022,0.023,0.118
33,6.214,3.262,6.254,0.247,-0.136,0.161,50.773,70,12,63,10.22,4.61,0.00,7.74,none,0,0,1,1.70,0.00,0.03,-0.00,1.74,1751309589.22,145,0.085,0.020,0.023,0.129
34,6.446,3.446,6.636,0.233,0.184,0.382,55.742,73,5,70,10.34,4.67,0.00,7.86,none,0,0,1,1.92,0.00,0.03,-0.00,1.78,1751309589.35,148,0.075,0.026,0.024,0.127
35,6.904,4.024,7.105,0.458,0.578,0.469,51.374,80,2,68,10.44,4.72,0.00,7.88,none,0,0,1,2.14,0.00,0.04,-0.00,1.81,1751309589.48,150,0.078,0.020,0.023,0.127
36,7.287,4.597,7.522,0.382,0.573,0.417,59.340,80,2,68,10.52,4.76,0.00,9.18,none,0,0,1,2.34,0.00,0.04,-0.00,1.84,1751309589.60,150,0.069,0.019,0.022,0.109
37,7.755,5.217,7.934,0.469,0.620,0.412,66.774,71,1,74,10.36,4.68,0.00,8.73,resume_reinforce,0,0,1,2.55,0.00,0.04,-0.00,1.79,1751309589.71,146,0.071,0.019,0.022,0.115
38,8.040,6.257,8.168,0.285,1.040,0.234,38.035,76,1,72,10.04,4.52,0.00,7.87,none,0,0,1,2.77,0.00,0.02,-0.00,1.68,1751309589.83,149,0.077,0.024,0.024,0.127
39,8.235,7.933,8.385,0.195,1.676,0.217,44.682,77,2,71,9.96,4.48,0.00,7.81,none,0,0,1,2.98,0.00,0.01,-0.00,1.65,1751309589.96,150,0.083,0.021,0.022,0.128
40,8.107,9.017,8.210,-0.128,1.084,-0.175,45.061,75,2,72,10.00,4.50,0.00,8.99,none,0,0,1,3.16,0.00,0.01,-0.00,1.67,1751309590.08,149,0.068,0.019,0.022,0.111
41,8.415,9.213,8.271,0.308,0.196,0.061,51.961,67,1,82,10.10,4.55,0.00,7.71,none,0,0,1,3.37,0.00,0.01,-0.00,1.70,1751309590.19,150,0.083,0.022,0.023,0.130
42,8.512,9.766,8.238,0.097,0.554,-0.033,64.716,69,2,79,10.19,4.60,0.00,8.62,none,0,0,1,3.57,0.00,0.02,-0.00,1.73,1751309590.32,150,0.072,0.020,0.023,0.116
43,8.644,9.995,8.313,0.133,0.228,0.075,68.697,75,2,70,10.30,4.65,0.00,8.76,none,0,0,1,3.77,0.00,0.02,-0.00,1.77,1751309590.44,147,0.070,0.019,0.023,0.114
44,8.851,9.449,8.339,0.207,-0.545,0.026,57.473,76,2,72,10.39,4.70,0.00,7.82,none,0,0,1,4.00,0.00,0.02,-0.00,1.80,1751309590.55,150,0.083,0.022,0.021,0.128
45,9.138,8.829,8.550,0.287,-0.620,0.211,71.036,76,4,66,10.47,4.74,0.00,8.94,none,0,0,1,4.20,0.00,0.03,-0.00,1.82,1751309590.68,146,0.067,0.020,0.022,0.112
46,9.356,8.122,8.771,0.218,-0.707,0.221,61.587,78,4,68,10.54,4.77,0.00,8.15,none,0,0,1,4.43,0.00,0.03,-0.00,1.85,1751309590.79,150,0.080,0.019,0.021,0.123
47,9.438,7.355,9.018,0.082,-0.767,0.247,66.137,72,6,71,10.61,4.80,0.00,7.97,none,0,0,1,4.66,0.00,0.03,-0.00,1.87,1751309590.92,149,0.076,0.025,0.023,0.126
48,9.790,6.049,9.469,0.352,-1.306,0.451,90.470,74,4,72,10.66,4.83,0.00,8.60,none,0,0,1,4.87,0.00,0.03,-0.00,1.89,1751309591.04,150,0.067,0.024,0.022,0.116
49,10.422,4.089,10.321,0.632,-1.960,0.852,122.418,72,6,71,10.70,4.85,0.00,9.02,none,0,0,1,5.08,0.00,0.03,-0.00,1.90,1751309591.16,149,0.068,0.020,0.020,0.111
50,11.635,3.183,11.644,1.213,-0.907,1.323,159.107,72,14,58,10.74,4.87,0.00,7.94,none,0,0,0,5.32,0.00,0.03,-0.00,1.91,1751309591.27,144,0.077,0.020,0.026,0.126
51,12.993,3.281,12.690,1.357,0.099,1.045,222.531,48,52,45,10.77,4.89,0.00,8.40,none,0,0,0,5.55,0.00,0.02,-0.00,1.92,1751309591.40,145,0.076,0.020,0.022,0.119
52,13.415,3.036,13.101,0.423,-0.245,0.411,101.072,58,25,67,10.80,4.90,0.00,8.99,none,0,0,0,5.76,0.00,0.02,-0.00,1.93,1751309591.51,150,0.068,0.019,0.023,0.111
53,13.630,2.498,13.816,0.215,-0.539,0.715,122.122,55,7,86,10.82,4.91,0.00,9.10,none,0,0,0,5.98,0.00,0.02,-0.00,1.94,1751309591.63,148,0.068,0.018,0.022,0.110
54,14.128,2.667,14.513,0.498,0.169,0.696,112.665,62,8,77,10.84,4.92,0.00,8.48,none,0,0,0,6.21,0.00,0.02,-0.00,1.95,1751309591.74,147,0.075,0.018,0.023,0.118
55,14.700,2.907,15.237,0.572,0.240,0.725,125.095,59,9,80,10.85,4.93,0.00,8.01,resume_reinforce,0,0,0,6.44,-0.00,0.02,-0.00,1.95,1751309591.85,148,0.080,0.019,0.022,0.125
56,15.515,3.438,15.542,0.814,0.531,0.305,133.517,45,13,88,10.86,4.93,0.00,8.86,none,0,0,0,6.67,-0.00,0.02,-0.00,1.95,1751309591.98,146,0.069,0.019,0.024,0.113
57,15.993,3.804,15.960,0.479,0.365,0.418,148.328,37,10,96,10.88,4.94,0.00,8.12,none,0,0,0,6.90,-0.00,0.02,-0.00,1.96,1751309592.09,143,0.080,0.019,0.024,0.123
58,15.940,4.154,16.149,-0.053,0.351,0.189,114.077,43,7,98,10.88,4.94,0.00,8.76,none,0,0,0,7.13,-0.00,0.01,-0.00,1.96,1751309592.21,148,0.068,0.021,0.023,0.114
59,15.497,4.504,15.710,-0.443,0.350,-0.439,88.115,54,8,83,10.89,4.95,0.00,8.67,none,0,0,0,7.35,-0.00,0.01,-0.00,1.96,1751309592.33,145,0.067,0.021,0.025,0.115
60,15.089,4.472,14.987,-0.407,-0.032,-0.723,114.227,80,12,57,10.90,4.95,0.00,8.86,none,0,0,0,7.57,-0.00,0.01,-0.00,1.97,1751309592.44,149,0.070,0.019,0.022,0.113
61,14.249,4.258,14.242,-0.840,-0.214,-0.745,108.288,79,10,60,10.90,4.95,0.00,8.13,none,0,0,0,7.82,-0.00,0.01,-0.00,1.97,1751309592.56,149,0.078,0.021,0.023,0.123
62,14.411,3.988,14.230,0.162,-0.271,-0.012,116.273,58,9,78,10.91,4.95,0.00,9.10,none,0,0,0,8.03,-0.00,0.01,0.00,1.97,1751309592.68,145,0.067,0.019,0.022,0.110
63,14.453,4.436,13.774,0.042,0.448,-0.456,93.578,62,12,74,10.91,4.96,0.00,9.16,none,0,0,0,8.25,-0.00,0.01,0.00,1.97,1751309592.79,148,0.066,0.017,0.023,0.109
64,14.683,4.839,13.481,0.231,0.403,-0.293,98.177,72,11,67,10.92,4.96,0.00,7.22,none,0,0,0,8.52,-0.00,0.01,0.00,1.97,1751309592.90,150,0.096,0.019,0.023,0.138
65,15.017,4.783,13.259,0.334,-0.056,-0.223,174.409,78,7,63,10.92,4.96,0.00,8.71,none,0,0,0,8.74,-0.00,0.01,0.00,1.97,1751309593.04,148,0.067,0.021,0.025,0.115
66,14.699,4.443,13.582,-0.319,-0.340,0.323,119.597,64,7,78,10.92,4.96,0.00,8.15,none,0,0,0,8.98,-0.00,0.01,0.00,1.97,1751309593.15,149,0.078,0.019,0.022,0.123
67,14.790,4.289,13.363,0.091,-0.155,-0.219,127.746,62,7,80,10.92,4.96,0.00,8.60,none,0,0,0,9.21,-0.00,0.01,0.00,1.97,1751309593.27,149,0.071,0.021,0.023,0.116
68,15.268,4.080,13.236,0.478,-0.208,-0.127,108.730,73,7,66,10.92,4.96,0.00,7.49,none,0,0,0,9.48,-0.00,0.01,0.00,1.97,1751309593.39,146,0.089,0.018,0.024,0.134
69,15.320,4.203,13.293,0.052,0.123,0.057,113.634,78,9,57,10.93,4.96,0.00,9.04,none,0,0,0,9.70,-0.00,0.01,0.00,1.98,1751309593.52,144,0.065,0.018,0.026,0.111
70,15.143,3.922,13.625,-0.177,-0.281,0.331,103.310,54,7,87,10.93,4.96,0.00,8.28,none,0,0,0,9.93,-0.00,0.01,0.00,1.98,1751309593.64,148,0.078,0.019,0.021,0.121
71,14.964,3.791,14.255,-0.179,-0.131,0.630,126.859,49,8,91,10.93,4.96,0.00,8.93,none,0,0,0,10.15,-0.00,0.01,0.00,1.98,1751309593.76,148,0.068,0.018,0.024,0.112
72,15.139,3.739,14.865,0.175,-0.053,0.610,140.122,58,9,83,10.93,4.96,0.00,8.87,none,0,0,0,10.37,-0.00,0.01,-0.00,1.98,1751309593.87,150,0.069,0.018,0.022,0.113
73,15.649,3.665,15.322,0.509,-0.074,0.456,146.543,48,9,91,10.93,4.96,0.00,9.06,resume_reinforce,0,0,0,10.59,-0.00,0.01,-0.00,1.98,1751309593.98,148,0.068,0.018,0.021,0.110
74,15.109,3.582,15.688,-0.540,-0.083,0.366,167.500,36,9,100,10.93,4.96,0.00,8.77,none,0,0,0,10.82,-0.00,0.01,-0.00,1.98,1751309594.09,145,0.070,0.020,0.023,0.114
75,14.548,3.760,15.784,-0.561,0.178,0.096,141.795,47,7,94,10.93,4.96,0.00,8.66,none,0,0,0,11.05,-0.00,0.01,-0.00,1.98,1751309594.21,148,0.072,0.019,0.023,0.115
76,14.100,3.768,15.603,-0.448,0.009,-0.181,96.148,45,6,99,10.93,4.96,0.00,8.78,none,0,0,0,11.27,-0.00,0.01,-0.00,1.98,1751309594.32,150,0.071,0.018,0.023,0.114
77,13.940,4.077,15.419,-0.160,0.309,-0.183,106.274,66,12,65,10.93,4.97,0.00,8.86,none,0,0,0,11.49,-0.00,0.01,-0.00,1.98,1751309594.43,143,0.069,0.019,0.022,0.113
78,13.921,4.559,15.176,-0.020,0.481,-0.243,98.705,86,12,46,10.93,4.97,0.00,7.35,none,0,0,0,11.76,-0.00,0.01,-0.00,1.98,1751309594.55,144,0.093,0.018,0.023,0.136
79,14.614,4.421,14.847,0.693,-0.137,-0.329,137.471,72,8,67,10.93,4.97,0.00,9.24,none,0,0,0,11.97,-0.00,0.01,-0.00,1.98,1751309594.68,147,0.066,0.018,0.023,0.108
80,14.692,4.571,14.514,0.078,0.149,-0.333,99.322,65,11,72,10.93,4.97,0.00,8.76,none,0,0,0,12.20,-0.00,0.01,-0.00,1.98,1751309594.79,148,0.070,0.019,0.024,0.114
81,14.920,4.690,13.996,0.228,0.119,-0.518,108.654,74,9,66,10.93,4.97,0.00,9.12,none,0,0,0,12.41,-0.00,0.01,-0.00,1.98,1751309594.91,149,0.067,0.018,0.023,0.110
82,14.905,4.651,13.784,-0.016,-0.039,-0.213,133.439,75,8,65,10.93,4.97,0.00,8.63,none,0,0,0,12.64,-0.00,0.01,-0.00,1.98,1751309595.02,148,0.072,0.021,0.023,0.116
83,14.687,4.610,13.593,-0.217,-0.041,-0.191,120.281,65,13,65,10.93,4.97,0.00,9.00,none,0,0,0,12.86,-0.00,0.01,-0.00,1.98,1751309595.13,143,0.065,0.020,0.025,0.111
84,15.169,4.479,13.691,0.482,-0.131,0.098,144.987,88,9,51,10.93,4.97,0.00,8.80,none,0,0,0,13.09,-0.00,0.01,-0.00,1.98,1751309595.24,148,0.069,0.021,0.022,0.114
85,15.409,4.734,13.629,0.240,0.255,-0.062,135.151,83,11,55,10.93,4.97,0.00,9.04,none,0,0,0,13.31,-0.00,0.01,-0.00,1.98,1751309595.36,149,0.070,0.018,0.022,0.111
86,15.815,5.162,13.721,0.406,0.428,0.092,120.706,91,9,45,10.93,4.97,0.00,9.18,none,0,0,0,13.52,-0.00,0.01,-0.00,1.98,1751309595.47,145,0.065,0.019,0.022,0.109
87,15.690,5.019,14.201,-0.125,-0.143,0.480,103.415,91,9,48,10.93,4.97,0.00,8.98,none,0,0,0,13.74,-0.00,0.01,-0.00,1.98,1751309595.58,148,0.067,0.019,0.024,0.111
88,15.336,4.882,14.871,-0.354,-0.137,0.670,96.141,104,9,34,10.93,4.97,0.00,8.20,none,0,0,0,13.98,-0.00,0.01,-0.00,1.98,1751309595.69,147,0.076,0.020,0.023,0.122
89,15.025,5.151,15.184,-0.310,0.269,0.313,121.218,100,14,33,10.93,4.97,0.00,8.65,none,0,0,0,14.21,-0.00,0.01,-0.00,1.98,1751309595.81,147,0.069,0.021,0.024,0.116
90,15.202,5.274,15.373,0.177,0.122,0.189,123.566,109,10,30,10.93,4.97,0.00,8.99,none,0,0,0,14.43,-0.00,0.01,-0.00,1.98,1751309595.92,149,0.066,0.019,0.024,0.111
91,15.057,5.084,15.805,-0.145,-0.190,0.432,116.163,54,25,67,10.93,4.97,0.00,8.70,none,0,0,0,14.65,-0.00,0.01,-0.00,1.98,1751309596.04,146,0.066,0.022,0.024,0.115
92,14.812,5.031,15.814,-0.246,-0.053,0.009,118.866,45,53,49,10.93,4.97,0.00,8.81,resume_reinforce,0,0,0,14.87,-0.00,0.01,-0.00,1.98,1751309596.15,147,0.068,0.018,0.025,0.113
93,14.526,4.854,16.171,-0.285,-0.177,0.357,93.104,30,85,32,10.93,4.97,0.00,8.61,none,0,0,0,15.11,-0.00,0.01,-0.00,1.98,1751309596.26,147,0.073,0.018,0.024,0.116
94,14.139,4.682,16.108,-0.387,-0.172,-0.062,82.441,24,89,35,10.93,4.97,0.00,7.80,none,0,0,0,15.36,-0.00,0.01,-0.00,1.98,1751309596.38,148,0.082,0.021,0.022,0.128
95,13.979,4.227,15.840,-0.160,-0.455,-0.268,72.683,20,117,13,10.93,4.97,0.00,7.83,none,0,0,0,15.61,-0.00,0.01,-0.00,1.98,1751309596.51,150,0.081,0.022,0.024,0.128
96,14.581,3.811,16.196,0.602,-0.416,0.356,52.379,6,141,3,10.93,4.97,0.00,8.81,none,0,0,1,15.84,-0.00,0.01,-0.00,1.98,1751309596.64,150,0.069,0.019,0.022,0.113
97,13.290,3.594,15.497,-1.291,-0.217,-0.699,11.586,0,149,1,10.93,4.97,0.00,7.93,none,0,0,1,16.08,-0.00,0.01,-0.00,1.98,1751309596.75,150,0.080,0.022,0.022,0.126
98,13.003,3.335,15.846,-0.286,-0.259,0.349,28.171,3,145,2,10.93,4.97,0.00,8.06,none,0,0,1,16.33,-0.00,0.01,-0.00,1.98,1751309596.88,150,0.082,0.018,0.023,0.124
99,12.041,2.981,15.053,-0.962,-0.354,-0.794,15.114,4,144,2,10.93,4.97,0.00,7.86,none,0,0,1,16.58,-0.00,0.01,-0.00,1.98,1751309597.00,150,0.076,0.024,0.025,0.127
100,11.110,2.827,14.265,-0.931,-0.154,-0.788,17.845,4,143,3,10.93,4.97,0.00,8.63,none,0,0,1,16.81,-0.00,0.01,-0.00,1.98,1751309597.13,150,0.070,0.020,0.022,0.116
101,10.648,2.869,13.471,-0.462,0.042,-0.794,63.155,47,52,45,10.93,4.97,0.00,7.97,none,0,0,1,17.06,-0.00,0.01,-0.00,1.98,1751309597.24,144,0.079,0.022,0.024,0.126
102,10.180,2.954,12.729,-0.468,0.085,-0.742,60.707,66,27,57,10.93,4.97,0.00,7.87,none,0,0,1,17.31,-0.00,0.01,-0.00,1.98,1751309597.37,150,0.080,0.020,0.025,0.127
103,9.770,3.032,11.855,-0.409,0.078,-0.874,61.375,58,30,60,10.93,4.97,0.00,8.28,none,0,0,1,17.54,-0.00,0.01,-0.00,1.98,1751309597.50,148,0.072,0.022,0.024,0.121
104,9.367,3.247,10.970,-0.404,0.215,-0.885,56.342,54,32,63,10.93,4.97,0.00,7.49,none,0,0,1,17.80,-0.00,0.01,-0.00,1.98,1751309597.62,149,0.088,0.019,0.026,0.134
105,8.851,3.535,10.601,-0.515,0.288,-0.369,57.578,60,27,62,10.93,4.97,0.00,7.90,none,0,0,1,18.06,-0.00,0.01,-0.00,1.98,1751309597.75,149,0.084,0.018,0.023,0.127
106,7.746,3.844,9.547,-1.105,0.309,-1.054,64.856,67,32,49,10.93,4.97,0.00,8.76,none,0,0,1,18.28,-0.00,0.01,-0.00,1.98,1751309597.88,148,0.069,0.020,0.024,0.114
107,8.707,4.250,9.405,0.961,0.406,-0.142,59.156,62,38,50,10.93,4.97,0.00,8.15,none,0,0,1,18.53,-0.00,0.01,-0.00,1.98,1751309597.99,150,0.078,0.020,0.023,0.123
108,8.633,4.759,8.179,-0.074,0.508,-1.226,62.773,59,45,44,10.93,4.97,0.00,8.12,none,0,0,1,18.77,-0.00,0.01,-0.00,1.98,1751309598.11,148,0.077,0.020,0.025,0.123
109,9.159,5.292,8.607,0.526,0.533,0.429,66.073,53,47,48,10.93,4.97,0.00,7.95,none,0,0,1,19.01,-0.00,0.01,-0.00,1.98,1751309598.24,148,0.078,0.020,0.026,0.126
